St. Kitts and Nevis,KNA,27345.05452,,,
"Korea, Rep.",KOR,42727.95076,,,
Kuwait,KWT,51962.0477,,,
Latin America & Caribbean (excluding high income),LAC,16141.88148,,,
Lao PDR,LAO,8220.178873,,,
Lebanon,LBN,15166.97971,,,
Liberia,LBR,1488.201471,,,
Libya,LBY,15815.87691,,,
St. Lucia,LCA,16101.65446,,,
Latin America & Caribbean,LCN,16932.86315,,,
Least developed countries: UN classification,LDC,3162.406319,,,
Low income,LIC,2528.914839,,,
Liechtenstein,LIE,,,,
Sri Lanka,LKA,13622.86045,,,
Lower middle income,LMC,7407.538662,,,
Low & middle income,LMY,11089.95575,,,
Lesotho,LSO,2693.198373,,,
Late-demographic dividend,LTE,18228.44662,,,
Lithuania,LTU,38764.99773,,,
Luxembourg,LUX,120962.1878,,,
Latvia,LVA,32002.75677,,,
"Macao SAR, China",MAC,132539.1514,,,
St. Martin (French part),MAF,,,,
Morocco,MAR,7856.245057,,,
Monaco,MCO,,,,
Moldova,MDA,13572.70437,,,
Madagascar,MDG,1686.979946,,,
Maldives,MDV,20357.00914,,,
Middle East & North Africa,MEA,16978.23454,,,
Mexico,MEX,20447.88507,,,
Marshall Islands,MHL,4199.47614,,,
Middle income,MIC,12064.92097,,,
North Macedonia,MKD,17583.37937,,,
Mali,MLI,2420.110906,,,
Malta,MLT,46766.76668,,,
Myanmar,MMR,5297.441905,,,
Middle East & North Africa (excluding high income),MNA,11067.39065,,,
Montenegro,MNE,23343.93005,,,
Mongolia,MNG,12837.66772,,,
Northern Mariana Islands,MNP,,,,
Mozambique,MOZ,1335.700853,,,
Mauritania,MRT,5416.856114,,,
Mauritius,MUS,23837.46924,,,
Malawi,MWI,1578.717667,,,
Malaysia,MYS,29564.00827,,,
North America,NAC,63781.39324,,,
Namibia,NAM,10261.56652,,,
New Caledonia,NCL,,,,
Niger,NER,1276.294725,,,
Nigeria,NGA,5352.679423,,,
Nicaragua,NIC,5682.260221,,,
Netherlands,NLD,59469.08369,,,
Norway,NOR,68345.06942,,,
Nepal,NPL,4119.922339,,,
Nauru,NRU,14099.48535,,,
New Zealand,NZL,45073.20308,,,
OECD members,OED,46268.74688,,,
Oman,OMN,28448.85878,,,
Other small states,OSS,23749.29204,,,
Pakistan,PAK,4888.845087,,,
Panama,PAN,32761.37539,,,
Peru,PER,13397.27392,,,
Philippines,PHL,9291.726915,,,
Palau,PLW,18315.76772,,,
Papua New Guinea,PNG,4533.761161,,,
Poland,POL,34151.79281,,,
Pre-demographic dividend,PRE,3665.759515,,,
Puerto Rico,PRI,36276.83324,,,
"Korea, Dem. People's Rep.",PRK,,,,
Portugal,PRT,36871.8396,,,
Paraguay,PRY,13149.03857,,,
West Bank and Gaza,PSE,6509.568335,,,
Pacific island small states,PSS,7635.213223,,,
Post-demographic dividend,PST,51038.18529,,,
French Polynesia,PYF,,,,
Qatar,QAT,93851.74568,,,
Romania,ROU,32299.96977,,,
Russian Federation,RUS,29188.85416,,,
Rwanda,RWA,2321.71859,,,
South Asia,SAS,6507.108749,,,
Saudi Arabia,SAU,48948.174,,,
Sudan,SDN,4362.609427,,,
Senegal,SEN,3503.617548,,,
Singapore,SGP,102573.4018,,,
Solomon Islands,SLB,2773.512363,,,
Sierra Leone,SLE,1792.519546,,,
El Salvador,SLV,9168.046983,,,
San Marino,SMR,63420.32714,,,
Somalia,SOM,903.4176133,,,
Serbia,SRB,18929.8776,,,
Sub-Saharan Africa (excluding high income),SSA,3943.441629,,,
South Sudan,SSD,,,,
Sub-Saharan Africa,SSF,3945.623009,,,
Small states,SST,21502.99873,,,
Sao Tome and Principe,STP,4174.727272,,,
Suriname,SUR,19841.80781,,,
Slovak Republic,SVK,32557.19078,,,
Slovenia,SVN,41193.84204,,,
Sweden,SWE,55068.76974,,,
Eswatini,SWZ,8986.419627,,,
Sint Maarten (Dutch part),SXM,,,,
Seychelles,SYC,28685.03521,,,
Syrian Arab Republic,SYR,,,,
Turks and Caicos Islands,TCA,30488.10399,,,
Chad,TCD,1646.428391,,,
East Asia & Pacific (IDA & IBRD countries),TEA,15182.87438,,,
Europe & Central Asia (IDA & IBRD countries),TEC,23947.40056,,,
Togo,TGO,2211.634935,,,
Thailand,THA,19233.86592,,,
Tajikistan,TJK,3732.869068,,,
Turkmenistan,TKM,16195.53879,,,
Latin America & the Caribbean (IDA & IBRD countries),TLA,16870.69584,,,
Timor-Leste,TLS,3702.836105,,,
Middle East & North Africa (IDA & IBRD countries),TMN,11122.21961,,,
Tonga,TON,6647.858999,,,
South Asia (IDA & IBRD),TSA,6507.108749,,,
Sub-Saharan Africa (IDA & IBRD countries),TSS,3945.623009,,,
Trinidad and Tobago,TTO,26920.14473,,,
Tunisia,TUN,11210.42516,,,
Turkey,TUR,27318.4325,,,
Tuvalu,TUV,4455.542635,,,
Tanzania,TZA,2772.929448,,,
Uganda,UGA,2279.972996,,,
Ukraine,UKR,13350.48232,,,
Upper middle income,UMC,18172.25562,,,
Uruguay,URY,24006.78694,,,
United States,USA,65279.52903,,,
Uzbekistan,UZB,7310.960056,,,
St. Vincent and the Grenadines,VCT,13012.70712,,,
"Venezuela, RB",VEN,,,,
British Virgin Islands,VGB,,,,
Virgin Islands (U.S.),VIR,,,,
Vietnam,VNM,8381.23932,,,
Vanuatu,VUT,3249.525277,,,
World,WLD,17630.40814,,,
Samoa,WSM,6777.776509,,,
Kosovo,XKX,11971.66302,,,
"Yemen, Rep.",YEM,,,,
South Africa,ZAF,13009.66863,,,
Zambia,ZMB,3617.213056,,,
Zimbabwe,ZWE,3155.695424,,,
